coords,nb_x,nb_y,nb_likelihood,nt_x,nt_y,nt_likelihood,ad_x,ad_y,ad_likelihood
141,158.4208984,217.7711334,1,158.8630829,253.1330719,1,199.2245331,347.9616089,1
142,157.3639221,218.1030884,1,158.092392,253.5410614,1,198.7899475,347.7165833,1
143,156.7364655,218.6345215,1,157.7432861,253.5813141,1,198.7314911,347.7048035,1
144,156.7204132,218.8645325,1,157.6383209,253.601059,1,198.6110229,347.694458,1
145,156.3114166,219.2348175,1,157.4282684,253.601059,1,198.4868011,347.6642151,1
146,156.2323303,219.3714142,1,156.769165,254.3404388,1,198.4619904,347.6618652,1
147,155.0752869,219.5319061,1,155.4957581,255.1040344,1,198.3913116,347.4981079,1
148,153.59552,220.0309906,1,153.8489838,255.2817383,1,197.6768188,347.0641785,1
149,151.7086792,220.6751709,1,152.1494446,255.6363983,1,196.8668976,346.6972351,1
150,150.3768768,220.7280273,1,150.7220917,256.1233215,1,196.5779724,346.6337585,1
151,149.8013916,220.7280273,1,150.0707703,256.1233215,1,196.4371033,346.5835266,1
152,149.8013916,220.7280273,1,150.0707703,256.1233215,1,196.4371033,346.4266663,1
153,149.8013916,220.2031555,1,150.0707703,255.4885254,1,196.4371033,346.4125977,1
154,150.2777557,219.692276,1,150.4130096,255.2256775,1,196.439209,346.4125977,1
155,150.7982941,219.3044891,1,150.8837738,255.1072998,1,196.5146332,346.4125977,1
156,151.5780487,218.5818024,1,151.6898346,254.3800964,1,196.5340576,346.4725342,1
157,152.3052216,218.4243622,1,152.3757935,253.929718,1,196.6143646,346.6251221,1
158,152.7823639,218.175293,1,152.7281799,253.9205322,1,196.7670135,346.7538147,1
159,152.7823639,218.175293,1,152.7281799,253.9205322,1,196.7756042,346.885498,1
160,152.7823639,218.175293,1,152.7281799,253.9205322,1,196.7756042,346.9117737,1
161,151.9638214,219.6350555,1,152.1748352,254.8630981,1,196.7670135,346.9117737,1
162,150.1418915,220.814209,1,150.5033722,256.5872192,1,196.6935272,346.9117737,1
163,148.3158722,221.4624481,1,148.2206726,257.7796021,1,196.5479584,346.8372192,1
164,147.5939178,221.4624481,1,146.8050232,257.7796021,1,196.3100586,346.7194824,1
165,147.5939178,221.4624481,1,146.8050232,257.7796021,1,196.0932007,346.6854858,1
166,147.5939178,220.6539612,1,146.8050232,256.9793091,1,196.0932007,346.6229553,1
167,148.5345459,219.5397491,1,148.8385468,255.4614258,1,196.0932007,346.6854858,1
168,149.750824,217.3989258,1,149.7281647,254.1016846,1,196.168457,346.7175293,1
169,151.3788605,216.3794098,1,151.4624176,251.9529114,1,196.8486481,346.6637878,1
170,152.5845947,215.3987579,1,153.154953,251.0606689,1,197.2404327,346.7175293,1
171,153.4880524,215.3493042,1,154.6522217,251.0606689,1,197.2894592,346.8274231,1
172,154.0974426,215.3493042,1,155.1372986,251.0606689,1,197.8558197,346.8493958,1
173,154.0974426,215.3493042,1,155.1372986,251.2452545,1,198.6233826,346.9952087,1
174,154.0974426,216.8262329,1,155.1372986,251.796875,1,199.7556763,347.5013123,1
175,152.8930206,217.7376556,1,154.9322205,253.1470184,1,200.1877136,347.9843445,1
176,151.5896912,218.3609467,1,153.3411255,254.6768799,1,200.364563,348.27005,1
177,150.287323,219.7854614,1,152.611084,255.7163391,1,200.364563,348.2796936,1
178,150.287323,219.7854614,1,152.611084,256.0170288,1,200.4389038,348.5516052,1
179,150.287323,219.7854614,1,152.611084,256.0170288,1,200.5173492,348.5950928,1
180,150.6910095,219.3072052,1,153.1934357,256.0170288,1,200.6060944,349.0071716,1
181,150.9619141,218.717392,1,153.6157532,255.1392517,1,200.6060944,349.0071716,1
182,151.9573822,217.7741089,1,154.3107605,254.1033783,1,200.6060944,349.0071716,1
183,152.3450165,217.4628601,1,154.7812042,253.8530579,1,200.3549957,348.7963257,1
184,152.7334747,217.0041809,1,155.1336823,253.4724426,1,200.1695251,348.6078491,1
185,153.701416,215.9951324,1,155.5497437,252.3875732,1,200.1674194,348.5907593,1
186,154.7148285,215.0080261,1,156.0923004,251.3553619,1,200.0993958,348.3328247,1
187,155.4950409,213.1151581,1,156.7268677,250.3539276,1,199.9430542,348.3310547,1
188,156.2298279,211.6425934,1,157.7561493,249.6137848,1,199.9430542,348.3310547,1
189,157.355072,210.2722321,1,159.5664673,248.2249603,1,199.9430542,348.3283691,1
190,158.5395813,208.7708435,1,160.5672913,247.8562622,1,200.2085266,348.3283691,1
191,160.2669067,208.0806122,1,162.1017914,246.5823822,1,200.5902252,348.2559204,1
192,161.1693115,206.5022278,1,163.3366089,245.383255,1,200.6634216,348.2559204,1
193,162.0433807,206.1461334,1,163.9224091,244.4180145,1,200.8269501,348.2098999,1
194,162.0433807,206.1461334,1,163.9224091,244.4180145,1,201.116272,348.2037964,1
195,162.0433807,206.1461334,1,163.9224091,244.4180145,1,201.1976929,348.1981812,1
196,160.879837,207.2292938,1,163.098465,245.59375,1,201.1976929,348.0401611,1
197,158.7234497,209.4276123,1,159.5943451,247.5461731,1,201.116272,347.789917,1
198,154.9916992,210.8523102,1,155.8316345,249.0402222,1,200.9631958,347.6142273,1
199,151.9675598,210.8523102,1,152.4837341,249.0402222,1,200.8225403,347.3601379,1
200,151.1383667,210.8523102,1,150.9236908,249.0402222,1,200.7200623,347.2643738,1
201,151.1383667,209.7523956,1,150.9236908,248.3780212,1,200.2574005,347.249115,1
202,151.1383667,208.552887,1,150.9236908,246.9992676,1,200.1632996,347.1894226,1
203,151.2853851,208.2012634,1,151.6438141,246.1647644,1,200.1632996,346.9794617,1
204,151.2853851,207.6990051,1,151.6438141,245.8292084,1,200.1632996,346.8843689,1
205,151.2853851,207.6990051,1,151.6438141,245.8292084,1,200.1658325,346.5587769,1
206,151.0132446,207.6990051,1,151.550827,245.8292084,1,200.3997192,346.4897766,1
207,150.0796814,208.8591461,1,150.1767426,246.6993866,1,200.3997192,346.4512024,1
208,148.6737976,210.5844574,1,149.0740356,248.1065674,1,200.4766846,346.1321716,1
209,146.5744324,212.1252289,1,147.8499908,249.0643158,1,200.8020172,345.7661133,1
210,146.5744324,212.1252289,1,147.8499908,249.0643158,1,200.8020172,345.7661133,1
211,146.5744324,212.1252289,1,147.8499908,249.0643158,1,200.8349457,345.7661133,1
212,147.9570923,211.6699829,1,149.1600037,248.602356,1,201.5590973,345.9909363,1
213,149.5428619,211.1529083,1,150.7471924,248.2575836,1,202.4171143,346.1540833,1
214,150.6695251,210.9251099,1,152.6839447,247.551712,1,202.8729858,346.8118286,1
215,152.066864,210.7166138,1,153.9489288,247.260376,1,202.8729858,347.252655,1
216,152.999115,210.4013062,1,154.9101105,247.0525208,1,202.8729858,347.4463196,1
